product,pic,shippingstatus,mono_inputs,stereo_inputs,density,cv_panning,cv_vcas,mutesolo,sends,indiv_outs,headphone,price,notes,_mgurl,_website,_hp,_year
Product,,Shipping,Mono Inputs,Stereo Inputs,Channel Density/HP,CV Panning,CV VCAs,Mute/Solo,Sends,Individual Outs,Headphone Out,Approx. Price (USD),Additional Notes,,,,
L-1 Discreet VC Stereo Mixer,l-1-discrete-vc-stereo-mixer.jpg,Yes (DIY or pre-built),0,4,18%,4,4,0,0,,No,$600,master level cv; LED VU meters for master mix; mute expander; insert expander,https://www.modulargrid.net/e/l-1-discrete-vc-stereo-mixer,,22,2019
L-1 Two Channel Voltage Controlled Stereo Mixer.,l-1-2-channel.jpg,Yes (DIY or pre-built),1-2,1-2,14%,2,4,0,2 stereo sends; no returns,,0,$115,LED VU meters; full CV over level and pan (but not the SEND),https://www.modulargrid.net/e/l-1-2-channel-vc-stereo-mixer,http://l-1.su/2chStereoMixer.html,14,2016
L-1 VC Stereo Mixer,vcstereomixer.jpg,Yes (DIY or pre-built),4,0,18%,4,4,0,0,,Yes (sort of),$155,master level cv; LED VU meters for master mix,https://www.modulargrid.net/e/l-1-vc-stereo-mixer,http://l-1.su/StereoMixer.html,22,2013
Modbap Modular Transit,modbap-transit.jpg,Yes,0-2,0-2,33%,,(see notes),2 (manual),,,Yes,$250,Each channel has a ducking VCA with input jack; level LEDs,https://www.modulargrid.net/e/modbap-modular-transit,https://www.modbap.com/products/transit,6,2022
NANO Modules Performance Mixer,nano-pm.jpg,Yes,2,2,14%,4,4,4,2,4 stereo (post-fader) with expander,Yes,$640,"cue system; clickless mutes; motion recording/looping for level, pan and send; expander adds cv control over mute, post-fader stereo channel outputs and cv over aux for the stereo channels",https://www.modulargrid.net/e/nano-modules-performance-mixer,https://nano-modules.com/performance-mixer/,28,2023
NANO Modules ST-MAR,nano-st-mar.jpg,Yes,0-3,0-3,38%,0,3,3 (manual),0,,No,$150,master attenuator; clip and signal LEDs,https://www.modulargrid.net/e/nano-modules-st-mar,https://nano-modules.com/stmar/,8,2023
Noise Engineering Xer Mixa,ne-xer-mixa.jpg,Yes,0-10,0-10,31%,10,10,10,2 stereo sends,No,No,$1050,clickless mutes; three stereo buses; digital channel configuration with eight save slots (fully analog audio path); cv control expanders,,https://noiseengineering.us/products/xer-mixa-expando-expandi?color=black,32,2023
NoisyFruitsLab 8CHAN,noisyfruits-8chan.jpg,Yes,8,0-2,26%,,,,2,DIY,No,$470,"LED VU meters for master mix; per channel gain; stereo aux in; separate level control over sends, returns, and master; headers for DIY direct out and cue out expanders",https://www.modulargrid.net/e/noisyfruitslab-8chan,https://noisyfruitslab.com/2022/07/13/8chan-m-8-channel-stereo-mixer-for-eurorack-synthesizer/,42,2022
OIIIAUDIO Quad Mixer,OIII-quad-mixer.jpg,Yes,4,0,17%,4,0,0,0,,Yes,$350,,https://www.modulargrid.net/e/other-unknown-oiiiaudio-quad-mixer-with-controlled-panorama,http://o3audio.com/shop/quad-mixer-with-a-controlled-panorama/,24,2019
ProModular MIIIIX,miiiix.jpg,Discontinued,4,0,22%,4,4,4 (manual),Expander,post-fader,Yes (sort of),$600,"expanders add AUX send/returns, cv control over mute/solo and other features; up to four MIIIX can be chained for up to 16 total channels; extra output configuration options",https://www.modulargrid.net/e/promodular-miiiix-,http://www.pro-modular.com/miiiix-insert-commander-master.html,18,2014
Qu-Bit Mixology,mixology-final.jpg,Yes,4,1 stereo AUX return,14%,4,4,4/4 (manual),1,,No,$400,LED VU meters for master mix,https://www.modulargrid.net/e/qu-bit-electronix-mixology,http://www.qubitelectronix.com/modules/mixology,28,2017
Roland SYSTEM-500 531 MIX,roland-531.jpg,Yes,4-6,0-1,30%,6,0,6 (manual),0,,Yes,$400,"stereo preamp with 1/4"" jack",https://www.modulargrid.net/e/roland-system-500-531,https://www.roland.com/uk/products/system-500_531/features/,20,2018
Sputnik 6-Channel Stereo Mixer,6csm.jpg,Yes,6,0,30%,2,0,4 (manual),0,,Yes,$250,LED VU meters for master mix,https://www.modulargrid.net/e/sputnik-modular-6-channel-stereo-mixer,http://sputnik-modular.com/stereo-mixer/,20,2014
ST-Modular MIX & PAN,st-modular-mix-and-pan.jpg,Yes (DIY),4,0,22%,4,4,,,,No,TBD,variable width scanning with voltage control; LED level indicators per channel and per VCA,https://www.modulargrid.net/e/st-modular-sum-mix-pan-,https://www.st-modular.com/mixnpan.htm,18,2023
Steady State Fate Vortices,ssf-vortices.jpg,Yes,4 (plus 2 mono aux),3 (plus 1 stereo aux),39%,2 + crossfader,7,0,0,,No,$380,“tape simulation” signal coloring including build-in saturation and peak limiters; crossfader feature; stereo and mono mixer portions have their own outputs available; can be daisy-chained; expanders offer CV over the seven input levels and click-less muting,https://www.modulargrid.net/e/steady-state-fate-vortices,http://www.steadystatefate.com/vortices,18,2020
Strange Science Instruments M-4 Advanced Stereo Mixer,ssi.m-4.jpg,Yes,4,0,14%,4,4,0,0,,No,$700,variable gain switch for the VCAs,https://www.modulargrid.net/e/strange-science-instruments-m-4-advanced-stereo-mixer,http://www.strangesci.com/m4stereomixer/,28,2018
SynEssentials SE2026,synessentials-se2026.jpg,Yes,6,2 stereo returns,13%,0,0,6 (manual),2 mono sends,,Yes,$1500,low and high eq per channel; solo per channel; dual outs; dual stereo aux ins; note: all 1/4 jacks are stereo TRS except the two sends,https://www.modulargrid.net/e/other-unknown-se2026-6-channel-audio-mixer,http://www.hollandsynth.com,45,2020
Takaab Nearness,takaab-nearness.jpg,Yes,7,0,133%,0,0,0,0,,No,$50,the input jack you select corresponds to relative pan placement in the stereo field,https://www.modulargrid.net/e/takaab-nearness,https://www.siammodular.com/nearness-minimal-panning-mixer-eurorack-synthesizer-module,3,2018
Tesseract Tex-Mix,tesseract-mix.jpg,Yes (DIY or pre-built),4-8,0-4,25%,0,4,8 (manual),"2 mono sends, 2 stereo returns",,Yes,$250,expandable modular design (this is only one possible configuration); cue system; expander with direct outputs is available,https://www.modulargrid.net/e/tesseract-modular-tex-mix-master-section,,32,2019
Tiptop Audio 207t,tiptop-207t.jpg,Yes,6,1 stereo aux input,21%,2,0,6 (manual),0,,No,$270,stereo aux input; cue bus with two mono outputs; preamp section with 1/4-inch jack,https://modulargrid.net/e/tiptop-audio-buchla-207t,https://tiptopaudio.com/buchla/,28,2023
Toppobrillo MiniMix,toppobrillo-minimix.jpg,Yes,4-6,0-2,43%,2,0,6 (manual),0,,Yes,TBD,chainable,https://www.modulargrid.net/e/toppobrillo-minimix-silver-panel,,14,2021
Toppobrillo Stereomix,topobrillostereo.jpg,Discontinued,4,1 stereo AUX return,17%,4,4,4 (manual),"1 mono send, 1 stereo return",,Yes,$550,cv over AUX send for each channel; LED level indicators for master mix,https://www.modulargrid.net/e/toppobrillo-stereomix,http://www.toppobrillo.com/stereomix.html,24,2016
Toppobrillo Stereomix 2,topobrillostereo2.jpg,Discontinued,4,1 stereo AUX return,17%,4,4,4 (manual),"1 mono send, 1 stereo return",,Yes,$480,cv over AUX send for each channel; LED level indicators for master mix,https://www.modulargrid.net/e/toppobrillo-stereomix-2-black-panel,,24,2019
TouellSkouarn Kemmeskañ Mixer,touellskouarn-kemmeskan.jpg,Yes,4,2,7%,,,6 (manual),"2 mono sends, 1 master send/return",4,Yes,$1100,feedback and EQ features,https://modulargrid.net/e/touellskouarn-kemmeskan-mixer,https://touellskouarn.fr/,60,2024
Verbos Scan & Pan,scanpan.jpg,Yes,4,0,29%,4,4,0,0,,No,$400,variable width scanning with voltage control; LED level indicators per channel,https://www.modulargrid.net/e/verbos-electronics-scan-pan,http://www.verboselectronics.com/modules/,14,2015
Vostok Hive,vostok-hive.jpg,Yes,0-4,0-4,40%,4,0,,,,No,$250,master level control; master bus can be daisy chained between multiple units,https://modulargrid.net/e/vostok-instruments-hive,https://www.vostokinstruments.com/hive,10,2025
WMD Performance Mixer,wmdperfmixer.jpg,Discontinued,6,2,20%,8,8,0,2,"post-gain, pre-fader (requires DB25 expander)",Yes,$750,"6 mono channels, each with 2 switched inputs; 2 true stereo channels; 2 mono send/returns; one stereo insert; one end of chain stereo send/return, dual input buses; cueing system; various LED indicators; full headphone support; expanders add mute controls, two additional full stereo channels",https://www.modulargrid.net/e/wmd-performance-mixer-,http://www.wmdevices.com/collections/eurorack-modules/products/performance-mixer,40,2016
WMD Performance Mixer MkII,wmd-pm2.jpg,Yes,0-8,0-8,15%,8,8,manual/grouped,2 mono or stereo,pre- or post-fader (requires DB25 expander),Yes,$1500,CV over AUX; individual stereo channels can be switched to CV crossfaders for two mono signals; MIDI output for automation recording; CUE bus; modular channel design for easy repairs; balanced out option; LED VU meters; channel expanders available,https://doudoroff.com/mixers/,https://wmdevices.com/products/performance-mixer-mkii,52,2024
WMD PM Channels MkII,wmd-pmchannels2.jpg,Yes,0-4,0-4,22%,4,4,manual/grouped,2 mono or stereo,requires Performance Mixer MkII,No,$650,"While primarily a four channel expander for the Performance Mixer MkII, this module can also be used as a standalone stereo mixer with extensive CV control and two stereo sends",https://modulargrid.net/e/wmd-pm-channels-mkii,https://wmdevices.com/products/pm-channels-mkii,24,2024
Worng Sidecar,worng-sidecar.jpg,Yes,4,2,33%,0,6,0,0,,No,$360,inputs and outputs cascade to the right,https://modulargrid.net/e/worng-electronics-sidecar,https://www.worngelectronics.com/,18,2024
Worng Sound Stage,worng-soundstage.jpg,Discontinued,21,0,175%,0,0,0,0,,No,$350,the input jack you select corresponds horizontally to relative pan placement in the stereo field; vertical jack selection corresponds to EQ-like filtration (controlled overall manually or with CV); manual and CV-control over output level,https://www.modulargrid.net/e/worng-electronics-soundstage,https://www.worngelectronics.com,12,2018
Worng Sound Stage II,worng-soundstage-2.jpg,Yes,21,1 stereo return,150%,0,0,0,1 stereo master send/return,,No,$380,the input jack you select corresponds horizontally to relative pan placement in the stereo field; vertical jack selection corresponds to EQ-like filtration (controlled overall manually or with CV); manual and CV-control over output level; filtered effects send/return,https://www.modulargrid.net/e/worng-electronics-soundstage-ii,https://www.worngelectronics.com/,14,2023
XAOC Ostrawa,xaoc-ostrawa.jpg,Yes,0-4,0-4,20%,"4 (balance, not pan)",4,"4 (manual, CV with expander)","1 stereo send, 1 stereo return",,No,$560,individual LED VU meters per channel; Ostrawa and Praga units can be daisy chained with ribbon cables; Bohumin expander adds additional stereo send and return and cv-controlled muting,https://www.modulargrid.net/e/xaoc-devices-ostrawa,http://xaocdevices.com/main/ostrawa/,20,2023
XAOC Praga,praga.jpg,Yes,4,2 stereo returns,20%,4,4,"4 (manual, CV with expander)","2 mono sends, 2 stereo returns",4 (post-fader),No,$515,individual LED VU meters per channel;cv for each VCA switchable between unipolar and bipolar; Ostrawa and Praga units can be daisy chained with ribbon cables; HRAD expander adds additional CV and full master section,https://www.modulargrid.net/e/xaoc-devices-praga,http://xaocdevices.com/main/praga/,20,2017
